Expert_1,Expert_2
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
